ano,mes,estado,numero,encontro
1998,Janeiro,Acre,0 Fires,1/1/1998
1999,Janeiro,Acre,0 Fires,1/1/1999
2000,Janeiro,Acre,0 Fires,1/1/2000
2001,Janeiro,Acre,0 Fires,1/1/2001
2002,Janeiro,Acre,0 Fires,1/1/2002
2003,Janeiro,Acre,10 Fires,1/1/2003
2004,Janeiro,Acre,0 Fires,1/1/2004
2005,Janeiro,Acre,12 Fires,1/1/2005
2006,Janeiro,Acre,4 Fires,1/1/2006
2007,Janeiro,Acre,0 Fires,1/1/2007
2008,Janeiro,Acre,0 Fires,1/1/2008
2009,Janeiro,Acre,0 Fires,1/1/2009
2010,Janeiro,Acre,1 Fires,1/1/2010
2011,Janeiro,Acre,0 Fires,1/1/2011
2012,Janeiro,Acre,0 Fires,1/1/2012
2013,Janeiro,Acre,0 Fires,1/1/2013
2014,Janeiro,Acre,0 Fires,1/1/2014
2015,Janeiro,Acre,1 Fires,1/1/2015
2016,Janeiro,Acre,12 Fires,1/1/2016
2017,Janeiro,Acre,0 Fires,1/1/2017
1998,Fevereiro,Acre,0 Fires,1/1/1998
1999,Fevereiro,Acre,0 Fires,1/1/1999
2000,Fevereiro,Acre,0 Fires,1/1/2000
2001,Fevereiro,Acre,0 Fires,1/1/2001
2002,Fevereiro,Acre,1 Fires,1/1/2002
2003,Fevereiro,Acre,0 Fires,1/1/2003
2004,Fevereiro,Acre,3 Fires,1/1/2004
2005,Fevereiro,Acre,0 Fires,1/1/2005
2006,Fevereiro,Acre,0 Fires,1/1/2006
2007,Fevereiro,Acre,5 Fires,1/1/2007
2008,Fevereiro,Acre,0 Fires,1/1/2008
2009,Fevereiro,Acre,2 Fires,1/1/2009
2010,Fevereiro,Acre,0 Fires,1/1/2010
2011,Fevereiro,Acre,0 Fires,1/1/2011
2012,Fevereiro,Acre,0 Fires,1/1/2012
2013,Fevereiro,Acre,0 Fires,1/1/2013
2014,Fevereiro,Acre,0 Fires,1/1/2014
2015,Fevereiro,Acre,2 Fires,1/1/2015
2016,Fevereiro,Acre,5 Fires,1/1/2016
2017,Fevereiro,Acre,1 Fires,1/1/2017
1998,Março,Acre,0 Fires,1/1/1998
1999,Março,Acre,0 Fires,1/1/1999
2000,Março,Acre,11 Fires,1/1/2000
2001,Março,Acre,0 Fires,1/1/2001
2002,Março,Acre,0 Fires,1/1/2002
2003,Março,Acre,0 Fires,1/1/2003
2004,Março,Acre,0 Fires,1/1/2004
2005,Março,Acre,3 Fires,1/1/2005
2006,Março,Acre,0 Fires,1/1/2006
2007,Março,Acre,2 Fires,1/1/2007
2008,Março,Acre,0 Fires,1/1/2008
2009,Março,Acre,1 Fires,1/1/2009
2010,Março,Acre,0 Fires,1/1/2010
2011,Março,Acre,0 Fires,1/1/2011
2012,Março,Acre,1 Fires,1/1/2012
2013,Março,Acre,2 Fires,1/1/2013
2014,Março,Acre,1 Fires,1/1/2014
2015,Março,Acre,2 Fires,1/1/2015
2016,Março,Acre,0 Fires,1/1/2016
2017,Março,Acre,0 Fires,1/1/2017
1998,Abril,Acre,0 Fires,1/1/1998
1999,Abril,Acre,0 Fires,1/1/1999
2000,Abril,Acre,1 Fires,1/1/2000
2001,Abril,Acre,0 Fires,1/1/2001
2002,Abril,Acre,0 Fires,1/1/2002
2003,Abril,Acre,1 Fires,1/1/2003
2004,Abril,Acre,2 Fires,1/1/2004
2005,Abril,Acre,1 Fires,1/1/2005
2006,Abril,Acre,,1/1/2006
2007,Abril,Acre,0 Fires,1/1/2007
2008,Abril,Acre,0 Fires,1/1/2008
2009,Abril,Acre,0 Fires,1/1/2009
2010,Abril,Acre,3 Fires,1/1/2010
2011,Abril,Acre,2 Fires,1/1/2011
2012,Abril,Acre,1 Fires,1/1/2012
2013,Abril,Acre,19 Fires,1/1/2013
2014,Abril,Acre,7 Fires,1/1/2014
2015,Abril,Acre,3 Fires,1/1/2015
2016,Abril,Acre,0 Fires,1/1/2016
2017,Abril,Acre,1 Fires,1/1/2017
1998,Maio,Acre,0 Fires,1/1/1998
1999,Maio,Acre,0 Fires,1/1/1999
2000,Maio,Acre,1 Fires,1/1/2000
2001,Maio,Acre,0 Fires,1/1/2001
2002,Maio,Acre,0 Fires,1/1/2002
2003,Maio,Acre,6 Fires,1/1/2003
2004,Maio,Acre,7 Fires,1/1/2004
2005,Maio,Acre,2 Fires,1/1/2005
2006,Maio,Acre,8 Fires,1/1/2006
2007,Maio,Acre,1 Fires,1/1/2007
2008,Maio,Acre,0 Fires,1/1/2008
2009,Maio,Acre,3 Fires,1/1/2009
2010,Maio,Acre,9 Fires,1/1/2010
2011,Maio,Acre,3 Fires,1/1/2011
2012,Maio,Acre,3 Fires,1/1/2012
2013,Maio,Acre,4 Fires,1/1/2013
2014,Maio,Acre,1 Fires,1/1/2014
2015,Maio,Acre,2 Fires,1/1/2015
2016,Maio,Acre,21 Fires,1/1/2016
2017,Maio,Acre,10 Fires,1/1/2017
1998,Junho,Acre,3 Fires,1/1/1998
1999,Junho,Acre,0 Fires,1/1/1999
2000,Junho,Acre,1 Fires,1/1/2000
2001,Junho,Acre,1 Fires,1/1/2001
2002,Junho,Acre,0 Fires,1/1/2002
2003,Junho,Acre,0 Fires,1/1/2003
2004,Junho,Acre,5 Fires,1/1/2004
2005,Junho,Acre,27 Fires,1/1/2005
2006,Junho,Acre,1 Fires,1/1/2006
2007,Junho,Acre,4 Fires,1/1/2007
2008,Junho,Acre,,1/1/2008
2009,Junho,Acre,0 Fires,1/1/2009
2010,Junho,Acre,1 Fires,1/1/2010
2011,Junho,Acre,10 Fires,1/1/2011
2012,Junho,Acre,7 Fires,1/1/2012
2013,Junho,Acre,8 Fires,1/1/2013
2014,Junho,Acre,17 Fires,1/1/2014
2015,Junho,Acre,40 Fires,1/1/2015
2016,Junho,Acre,87 Fires,1/1/2016
2017,Junho,Acre,45 Fires,1/1/2017
1998,Julho,Acre,37 Fires,1/1/1998
1999,Julho,Acre,1 Fires,1/1/1999
2000,Julho,Acre,1 Fires,1/1/2000
2001,Julho,Acre,3 Fires,1/1/2001
2002,Julho,Acre,39 Fires,1/1/2002
2003,Julho,Acre,168 Fires,1/1/2003
2004,Julho,Acre,42 Fires,1/1/2004
2005,Julho,Acre,,1/1/2005
2006,Julho,Acre,33 Fires,1/1/2006
2007,Julho,Acre,29 Fires,1/1/2007
2008,Julho,Acre,41 Fires,1/1/2008
2009,Julho,Acre,31 Fires,1/1/2009
2010,Julho,Acre,126 Fires,1/1/2010
2011,Julho,Acre,93 Fires,1/1/2011
2012,Julho,Acre,71 Fires,1/1/2012
2013,Julho,Acre,54 Fires,1/1/2013
2014,Julho,Acre,60 Fires,1/1/2014
2015,Julho,Acre,109 Fires,1/1/2015
2016,Julho,Acre,533 Fires,1/1/2016
2017,Julho,Acre,457 Fires,1/1/2017
1998,Agosto,Acre,130 Fires,1/1/1998
1999,Agosto,Acre,63 Fires,1/1/1999
2000,Agosto,Acre,136 Fires,1/1/2000
2001,Agosto,Acre,396 Fires,1/1/2001
2002,Agosto,Acre,728 Fires,1/1/2002
2003,Agosto,Acre,1.976 Fires,1/1/2003
2004,Agosto,Acre,645 Fires,1/1/2004
2005,Agosto,Acre,4.198 Fires,1/1/2005
2006,Agosto,Acre,839 Fires,1/1/2006
2007,Agosto,Acre,960 Fires,1/1/2007
2008,Agosto,Acre,445 Fires,1/1/2008
2009,Agosto,Acre,194 Fires,1/1/2009
2010,Agosto,Acre,1.682 Fires,1/1/2010
2011,Agosto,Acre,425 Fires,1/1/2011
2012,Agosto,Acre,739 Fires,1/1/2012
2013,Agosto,Acre,679 Fires,1/1/2013
2014,Agosto,Acre,1.1 Fires,1/1/2014
2015,Agosto,Acre,1.397 Fires,1/1/2015
2016,Agosto,Acre,2.188 Fires,1/1/2016
2017,Agosto,Acre,1.493 Fires,1/1/2017
1998,Setembro,Acre,509 Fires,1/1/1998
1999,Setembro,Acre,209 Fires,1/1/1999
2000,Setembro,Acre,265 Fires,1/1/2000
2001,Setembro,Acre,290 Fires,1/1/2001
2002,Setembro,Acre,1.949 Fires,1/1/2002
2003,Setembro,Acre,3.942 Fires,1/1/2003
2004,Setembro,Acre,1.978 Fires,1/1/2004
2005,Setembro,Acre,4.253 Fires,1/1/2005
2006,Setembro,Acre,2.37 Fires,1/1/2006
2007,Setembro,Acre,2.08 Fires,1/1/2007
2008,Setembro,Acre,1.666 Fires,1/1/2008
2009,Setembro,Acre,1.265 Fires,1/1/2009
2010,Setembro,Acre,2.531 Fires,1/1/2010
2011,Setembro,Acre,1.204 Fires,1/1/2011
2012,Setembro,Acre,1.996 Fires,1/1/2012
2013,Setembro,Acre,2.136 Fires,1/1/2013
2014,Setembro,Acre,2.175 Fires,1/1/2014
2015,Setembro,Acre,2.928 Fires,1/1/2015
2016,Setembro,Acre,3.586 Fires,1/1/2016
2017,Setembro,Acre,3.429 Fires,1/1/2017
1998,Outubro,Acre,44 Fires,1/1/1998
1999,Outubro,Acre,60 Fires,1/1/1999
2000,Outubro,Acre,18 Fires,1/1/2000
2001,Outubro,Acre,137 Fires,1/1/2001
2002,Outubro,Acre,687 Fires,1/1/2002
2003,Outubro,Acre,740 Fires,1/1/2003
2004,Outubro,Acre,461 Fires,1/1/2004
2005,Outubro,Acre,547 Fires,1/1/2005
2006,Outubro,Acre,316 Fires,1/1/2006
2007,Outubro,Acre,203 Fires,1/1/2007
2008,Outubro,Acre,652 Fires,1/1/2008
2009,Outubro,Acre,565 Fires,1/1/2009
2010,Outubro,Acre,292 Fires,1/1/2010
2011,Outubro,Acre,97 Fires,1/1/2011
2012,Outubro,Acre,348 Fires,1/1/2012
2013,Outubro,Acre,258 Fires,1/1/2013
2014,Outubro,Acre,406 Fires,1/1/2014
2015,Outubro,Acre,905 Fires,1/1/2015
2016,Outubro,Acre,509 Fires,1/1/2016
2017,Outubro,Acre,1.508 Fires,1/1/2017
1998,Novembro,Acre,0 Fires,1/1/1998
1999,Novembro,Acre,0 Fires,1/1/1999
2000,Novembro,Acre,0 Fires,1/1/2000
2001,Novembro,Acre,1 Fires,1/1/2001
2002,Novembro,Acre,86 Fires,1/1/2002
2003,Novembro,Acre,15 Fires,1/1/2003
2004,Novembro,Acre,,1/1/2004
2005,Novembro,Acre,14 Fires,1/1/2005
2006,Novembro,Acre,18 Fires,1/1/2006
2007,Novembro,Acre,7 Fires,1/1/2007
2008,Novembro,Acre,4 Fires,1/1/2008
2009,Novembro,Acre,33 Fires,1/1/2009
2010,Novembro,Acre,39 Fires,1/1/2010
2011,Novembro,Acre,74 Fires,1/1/2011
2012,Novembro,Acre,13 Fires,1/1/2012
2013,Novembro,Acre,79 Fires,1/1/2013
2014,Novembro,Acre,56 Fires,1/1/2014
2015,Novembro,Acre,,1/1/2015
2016,Novembro,Acre,46 Fires,1/1/2016
2017,Novembro,Acre,98 Fires,1/1/2017
1998,Dezembro,Acre,7 Fires,1/1/1998
1999,Dezembro,Acre,0 Fires,1/1/1999
2000,Dezembro,Acre,0 Fires,1/1/2000
2001,Dezembro,Acre,0 Fires,1/1/2001
2002,Dezembro,Acre,1 Fires,1/1/2002
2003,Dezembro,Acre,1 Fires,1/1/2003
2004,Dezembro,Acre,7 Fires,1/1/2004
2005,Dezembro,Acre,2 Fires,1/1/2005
2006,Dezembro,Acre,0 Fires,1/1/2006
2007,Dezembro,Acre,0 Fires,1/1/2007
2008,Dezembro,Acre,0 Fires,1/1/2008
2009,Dezembro,Acre,1 Fires,1/1/2009
2010,Dezembro,Acre,0 Fires,1/1/2010
2011,Dezembro,Acre,4 Fires,1/1/2011
2012,Dezembro,Acre,1 Fires,1/1/2012
2013,Dezembro,Acre,3 Fires,1/1/2013
2014,Dezembro,Acre,6 Fires,1/1/2014
2015,Dezembro,Acre,8 Fires,1/1/2015
2016,Dezembro,Acre,6 Fires,1/1/2016
1998,Janeiro,alagoas,0,1/1/1998
1999,Janeiro,alagoas,58,1/1/1999
2000,Janeiro,alagoas,11,1/1/2000
2001,Janeiro,alagoas,5,1/1/2001
2002,Janeiro,alagoas,12,1/1/2002
2003,Janeiro,alagoas,150,1/1/2003
2004,Janeiro,alagoas,9,1/1/2004
2005,Janeiro,alagoas,83,1/1/2005
2006,Janeiro,alagoas,29,1/1/2006
2007,Janeiro,alagoas,33,1/1/2007
2008,Janeiro,alagoas,55,1/1/2008
2009,Janeiro,alagoas,104,1/1/2009
2010,Janeiro,alagoas,23,1/1/2010
2011,Janeiro,alagoas,41,1/1/2011
2012,Janeiro,alagoas,36,1/1/2012
2013,Janeiro,alagoas,49,1/1/2013
2014,Janeiro,alagoas,54,1/1/2014
2015,Janeiro,alagoas,81,1/1/2015
2016,Janeiro,alagoas,24,1/1/2016
2017,Janeiro,alagoas,38,1/1/2017
2017,Janeiro,alagoas,38,1/1/2017
1998,Fevereiro,alagoas,0,1/1/1998
1999,Fevereiro,alagoas,20,1/1/1999
2000,Fevereiro,alagoas,16,1/1/2000
2001,Fevereiro,alagoas,4,1/1/2001
2002,Fevereiro,alagoas,15,1/1/2002
2003,Fevereiro,alagoas,33,1/1/2003
2004,Fevereiro,alagoas,7,1/1/2004
2005,Fevereiro,alagoas,31,1/1/2005
2006,Fevereiro,alagoas,14,1/1/2006
2007,Fevereiro,alagoas,28,1/1/2007
2008,Fevereiro,alagoas,74,1/1/2008
2009,Fevereiro,alagoas,32,1/1/2009
2010,Fevereiro,alagoas,26,1/1/2010
2011,Fevereiro,alagoas,33,1/1/2011
2012,Fevereiro,alagoas,41,1/1/2012
2013,Fevereiro,alagoas,19,1/1/2013
2014,Fevereiro,alagoas,29,1/1/2014
2015,Fevereiro,alagoas,46,1/1/2015
2016,Fevereiro,alagoas,14,1/1/2016
2017,Fevereiro,alagoas,21,1/1/2017
1998,Março,alagoas,0,1/1/1998
1999,Março,alagoas,52,1/1/1999
2000,Março,alagoas,32,1/1/2000
2001,Março,alagoas,0,1/1/2001
2002,Março,alagoas,27,1/1/2002
2003,Março,alagoas,15,1/1/2003
2004,Março,alagoas,16,1/1/2004
2005,Março,alagoas,35,1/1/2005
2006,Março,alagoas,37,1/1/2006
2007,Março,alagoas,7,1/1/2007
2008,Março,alagoas,31,1/1/2008
2009,Março,alagoas,31,1/1/2009
2010,Março,alagoas,70,1/1/2010
2011,Março,alagoas,34,1/1/2011
2012,Março,alagoas,44,1/1/2012
2013,Março,alagoas,31,1/1/2013
2014,Março,alagoas,28,1/1/2014
2015,Março,alagoas,32,1/1/2015
2016,Março,alagoas,9,1/1/2016
2017,Março,alagoas,23,1/1/2017
1998,Abril,alagoas,0,1/1/1998
1999,Abril,alagoas,4,1/1/1999
2000,Abril,alagoas,20,1/1/2000
2001,Abril,alagoas,0,1/1/2001
2002,Abril,alagoas,6,1/1/2002
2003,Abril,alagoas,20,1/1/2003
2004,Abril,alagoas,6,1/1/2004
2005,Abril,alagoas,1,1/1/2005
2006,Abril,alagoas,2,1/1/2006
2007,Abril,alagoas,1,1/1/2007
2008,Abril,alagoas,18,1/1/2008
2009,Abril,alagoas,5,1/1/2009
2010,Abril,alagoas,3,1/1/2010
2011,Abril,alagoas,17,1/1/2011
2012,Abril,alagoas,18,1/1/2012
2013,Abril,alagoas,25,1/1/2013
2014,Abril,alagoas,16,1/1/2014
2015,Abril,alagoas,63,1/1/2015
2016,Abril,alagoas,13,1/1/2016
2017,Abril,alagoas,7,1/1/2017
1998,Maio,alagoas,0,1/1/1998
1999,Maio,alagoas,1,1/1/1999
2000,Maio,alagoas,1,1/1/2000
2001,Maio,alagoas,2,1/1/2001
2002,Maio,alagoas,1,1/1/2002
2003,Maio,alagoas,1,1/1/2003
2004,Maio,alagoas,3,1/1/2004
2005,Maio,alagoas,0,1/1/2005
2006,Maio,alagoas,0,1/1/2006
2007,Maio,alagoas,0,1/1/2007
