year,state,month,number,date,Random
1998,Acre,Janeiro,0,1/1/1998,63
1999,Acre,Janeiro,0,1/1/1999,94
2000,Acre,Janeiro,0,1/1/2000,90
2001,Acre,Janeiro,0,1/1/2001,71
2002,Acre,Janeiro,0,1/1/2002,40
2003,Acre,Janeiro,10,1/1/2003,38
2004,Acre,Janeiro,0,1/1/2004,62
2005,Acre,Janeiro,12,1/1/2005,16
2006,Acre,Janeiro,4,1/1/2006,9
2007,Acre,Janeiro,0,1/1/2007,9
2008,Acre,Janeiro,0,1/1/2008,23
2009,Acre,Janeiro,0,1/1/2009,33
2010,Acre,Janeiro,1,1/1/2010,94
2011,Acre,Janeiro,0,1/1/2011,100
2012,Acre,Janeiro,0,1/1/2012,24
2013,Acre,Janeiro,0,1/1/2013,70
2014,Acre,Janeiro,0,1/1/2014,34
2015,Acre,Janeiro,1,1/1/2015,59
2016,Acre,Janeiro,12,1/1/2016,95
2017,Acre,Janeiro,0,1/1/2017,1
1998,Acre,Fevereiro,0,1/1/1998,70
1999,Acre,Fevereiro,0,1/1/1999,22
2000,Acre,Fevereiro,0,1/1/2000,8
2001,Acre,Fevereiro,0,1/1/2001,81
2002,Acre,Fevereiro,1,1/1/2002,74
2003,Acre,Fevereiro,0,1/1/2003,17
2004,Acre,Fevereiro,3,1/1/2004,85
2005,Acre,Fevereiro,0,1/1/2005,22
2006,Acre,Fevereiro,0,1/1/2006,46
2007,Acre,Fevereiro,5,1/1/2007,4
2008,Acre,Fevereiro,0,1/1/2008,40
2009,Acre,Fevereiro,2,1/1/2009,9
2010,Acre,Fevereiro,0,1/1/2010,39
2011,Acre,Fevereiro,0,1/1/2011,92
2012,Acre,Fevereiro,0,1/1/2012,19
2013,Acre,Fevereiro,0,1/1/2013,13
2014,Acre,Fevereiro,0,1/1/2014,52
2015,Acre,Fevereiro,2,1/1/2015,43
2016,Acre,Fevereiro,5,1/1/2016,64
2017,Acre,Fevereiro,1,1/1/2017,8
1998,Acre,Março,0,1/1/1998,6
1999,Acre,Março,0,1/1/1999,31
2000,Acre,Março,11,1/1/2000,27
2001,Acre,Março,0,1/1/2001,75
2002,Acre,Março,0,1/1/2002,25
2003,Acre,Março,0,1/1/2003,23
2004,Acre,Março,0,1/1/2004,24
2005,Acre,Março,3,1/1/2005,95
2006,Acre,Março,0,1/1/2006,61
2007,Acre,Março,2,1/1/2007,8
2008,Acre,Março,0,1/1/2008,57
2009,Acre,Março,1,1/1/2009,93
2010,Acre,Março,0,1/1/2010,24
2011,Acre,Março,0,1/1/2011,43
2012,Acre,Março,1,1/1/2012,73
2013,Acre,Março,2,1/1/2013,84
2014,Acre,Março,1,1/1/2014,41
2015,Acre,Março,2,1/1/2015,42
2016,Acre,Março,0,1/1/2016,68
2017,Acre,Março,0,1/1/2017,70
1998,Acre,Abril,0,1/1/1998,52
1999,Acre,Abril,0,1/1/1999,19
2000,Acre,Abril,1,1/1/2000,15
2001,Acre,Abril,0,1/1/2001,17
2002,Acre,Abril,0,1/1/2002,64
2003,Acre,Abril,1,1/1/2003,94
2004,Acre,Abril,2,1/1/2004,14
2005,Acre,Abril,1,1/1/2005,35
2006,Acre,Abril,,1/1/2006,5
2007,Acre,Abril,0,1/1/2007,41
2008,Acre,Abril,0,1/1/2008,46
2009,Acre,Abril,0,1/1/2009,72
2010,Acre,Abril,3,1/1/2010,13
2011,Acre,Abril,2,1/1/2011,12
2012,Acre,Abril,1,1/1/2012,42
2013,Acre,Abril,19,1/1/2013,82
2014,Acre,Abril,7,1/1/2014,19
2015,Acre,Abril,3,1/1/2015,54
2016,Acre,Abril,0,1/1/2016,36
2017,Acre,Abril,1,1/1/2017,73
1998,Acre,Maio,0,1/1/1998,92
1999,Acre,Maio,0,1/1/1999,53
2000,Acre,Maio,1,1/1/2000,15
2001,Acre,Maio,0,1/1/2001,62
2002,Acre,Maio,0,1/1/2002,42
2003,Acre,Maio,6,1/1/2003,59
2004,Acre,Maio,7,1/1/2004,47
2005,Acre,Maio,2,1/1/2005,4
2006,Acre,Maio,8,1/1/2006,71
2007,Acre,Maio,1,1/1/2007,100
2008,Acre,Maio,0,1/1/2008,37
2009,Acre,Maio,3,1/1/2009,61
2010,Acre,Maio,9,1/1/2010,87
2011,Acre,Maio,3,1/1/2011,38
2012,Acre,Maio,3,1/1/2012,87
2013,Acre,Maio,4,1/1/2013,68
2014,Acre,Maio,1,1/1/2014,17
2015,Acre,Maio,2,1/1/2015,1
2016,Acre,Maio,21,1/1/2016,0
2017,Acre,Maio,10,1/1/2017,89
1998,Acre,Junho,3,1/1/1998,98
1999,Acre,Junho,0,1/1/1999,75
2000,Acre,Junho,1,1/1/2000,45
2001,Acre,Junho,1,1/1/2001,94
2002,Acre,Junho,0,1/1/2002,90
2003,Acre,Junho,0,1/1/2003,51
2004,Acre,Junho,5,1/1/2004,28
2005,Acre,Junho,27,1/1/2005,32
2006,Acre,Junho,1,1/1/2006,40
2007,Acre,Junho,4,1/1/2007,10
2008,Acre,Junho,,1/1/2008,5
2009,Acre,Junho,0,1/1/2009,1
2010,Acre,Junho,1,1/1/2010,44
2011,Acre,Junho,10,1/1/2011,58
2012,Acre,Junho,7,1/1/2012,77
2013,Acre,Junho,8,1/1/2013,23
2014,Acre,Junho,17,1/1/2014,64
2015,Acre,Junho,40,1/1/2015,66
2016,Acre,Junho,87,1/1/2016,62
2017,Acre,Junho,45,1/1/2017,57
1998,Acre,Julho,37,1/1/1998,9
1999,Acre,Julho,1,1/1/1999,57
2000,Acre,Julho,1,1/1/2000,23
2001,Acre,Julho,3,1/1/2001,24
2002,Acre,Julho,39,1/1/2002,96
2003,Acre,Julho,168,1/1/2003,22
2004,Acre,Julho,42,1/1/2004,39
2005,Acre,Julho,,1/1/2005,5
2006,Acre,Julho,33,1/1/2006,55
2007,Acre,Julho,29,1/1/2007,97
2008,Acre,Julho,41,1/1/2008,50
2009,Acre,Julho,31,1/1/2009,22
2010,Acre,Julho,126,1/1/2010,6
2011,Acre,Julho,93,1/1/2011,93
2012,Acre,Julho,71,1/1/2012,0
2013,Acre,Julho,54,1/1/2013,30
2014,Acre,Julho,60,1/1/2014,68
2015,Acre,Julho,109,1/1/2015,13
2016,Acre,Julho,533,1/1/2016,12
2017,Acre,Julho,457,1/1/2017,26
1998,Acre,Agosto,130,1/1/1998,94
1999,Acre,Agosto,63,1/1/1999,93
2000,Acre,Agosto,136,1/1/2000,49
2001,Acre,Agosto,396,1/1/2001,63
2002,Acre,Agosto,728,1/1/2002,21
2003,Acre,Agosto,1.976,1/1/2003,9
2004,Acre,Agosto,645,1/1/2004,62
2005,Acre,Agosto,4.198,1/1/2005,62
2006,Acre,Agosto,839,1/1/2006,28
2007,Acre,Agosto,960,1/1/2007,12
2008,Acre,Agosto,445,1/1/2008,88
2009,Acre,Agosto,194,1/1/2009,85
2010,Acre,Agosto,1.682,1/1/2010,77
2011,Acre,Agosto,425,1/1/2011,14
2012,Acre,Agosto,739,1/1/2012,23
2013,Acre,Agosto,679,1/1/2013,19
2014,Acre,Agosto,1.1,1/1/2014,75
2015,Acre,Agosto,1.397,1/1/2015,35
2016,Acre,Agosto,2.188,1/1/2016,24
2017,Acre,Agosto,1.493,1/1/2017,24
1998,Acre,Setembro,509,1/1/1998,9
1999,Acre,Setembro,209,1/1/1999,72
2000,Acre,Setembro,265,1/1/2000,27
2001,Acre,Setembro,290,1/1/2001,52
2002,Acre,Setembro,1.949,1/1/2002,64
2003,Acre,Setembro,3.942,1/1/2003,27
2004,Acre,Setembro,1.978,1/1/2004,60
2005,Acre,Setembro,4.253,1/1/2005,27
2006,Acre,Setembro,2.37,1/1/2006,79
2007,Acre,Setembro,2.08,1/1/2007,57
2008,Acre,Setembro,1.666,1/1/2008,100
2009,Acre,Setembro,1.265,1/1/2009,4
2010,Acre,Setembro,2.531,1/1/2010,6
2011,Acre,Setembro,1.204,1/1/2011,53
2012,Acre,Setembro,1.996,1/1/2012,72
2013,Acre,Setembro,2.136,1/1/2013,77
2014,Acre,Setembro,2.175,1/1/2014,74
2015,Acre,Setembro,2.928,1/1/2015,64
2016,Acre,Setembro,3.586,1/1/2016,17
2017,Acre,Setembro,3.429,1/1/2017,79
1998,Acre,Outubro,44,1/1/1998,35
1999,Acre,Outubro,60,1/1/1999,57
2000,Acre,Outubro,18,1/1/2000,87
2001,Acre,Outubro,137,1/1/2001,100
2002,Acre,Outubro,687,1/1/2002,88
2003,Acre,Outubro,740,1/1/2003,58
2004,Acre,Outubro,461,1/1/2004,84
2005,Acre,Outubro,547,1/1/2005,87
2006,Acre,Outubro,316,1/1/2006,85
2007,Acre,Outubro,203,1/1/2007,47
2008,Acre,Outubro,652,1/1/2008,79
2009,Acre,Outubro,565,1/1/2009,79
2010,Acre,Outubro,292,1/1/2010,0
2011,Acre,Outubro,97,1/1/2011,29
2012,Acre,Outubro,348,1/1/2012,85
2013,Acre,Outubro,258,1/1/2013,65
2014,Acre,Outubro,406,1/1/2014,54
2015,Acre,Outubro,905,1/1/2015,27
2016,Acre,Outubro,509,1/1/2016,46
2017,Acre,Outubro,1.508,1/1/2017,50
1998,Acre,Novembro,0,1/1/1998,88
1999,Acre,Novembro,0,1/1/1999,85
2000,Acre,Novembro,0,1/1/2000,4
2001,Acre,Novembro,1,1/1/2001,61
2002,Acre,Novembro,86,1/1/2002,2
2003,Acre,Novembro,15,1/1/2003,67
2004,Acre,Novembro,,1/1/2004,5
2005,Acre,Novembro,14,1/1/2005,35
2006,Acre,Novembro,18,1/1/2006,23
2007,Acre,Novembro,7,1/1/2007,91
2008,Acre,Novembro,4,1/1/2008,33
2009,Acre,Novembro,33,1/1/2009,74
2010,Acre,Novembro,39,1/1/2010,66
2011,Acre,Novembro,74,1/1/2011,26
2012,Acre,Novembro,13,1/1/2012,29
2013,Acre,Novembro,79,1/1/2013,22
2014,Acre,Novembro,56,1/1/2014,79
2015,Acre,Novembro,,1/1/2015,11
2016,Acre,Novembro,46,1/1/2016,85
2017,Acre,Novembro,98,1/1/2017,6
1998,Acre,Dezembro,7,1/1/1998,48
1999,Acre,Dezembro,0,1/1/1999,64
2000,Acre,Dezembro,0,1/1/2000,27
2001,Acre,Dezembro,0,1/1/2001,28
2002,Acre,Dezembro,1,1/1/2002,61
2003,Acre,Dezembro,1,1/1/2003,53
2004,Acre,Dezembro,7,1/1/2004,89
2005,Acre,Dezembro,2,1/1/2005,37
2006,Acre,Dezembro,0,1/1/2006,20
2007,Acre,Dezembro,0,1/1/2007,58
2008,Acre,Dezembro,0,1/1/2008,95
2009,Acre,Dezembro,1,1/1/2009,79
2010,Acre,Dezembro,0,1/1/2010,50
2011,Acre,Dezembro,4,1/1/2011,34
2012,Acre,Dezembro,1,1/1/2012,24
2013,Acre,Dezembro,3,1/1/2013,48
2014,Acre,Dezembro,6,1/1/2014,44
2015,Acre,Dezembro,8,1/1/2015,7
2016,Acre,Dezembro,6,1/1/2016,70
1998,alagoas,Janeiro,0,1/1/1998,62
1999,alagoas,Janeiro,58,1/1/1999,79
2000,alagoas,Janeiro,11,1/1/2000,23
