year,state,month,number,date,Random
2001,alagoas,Janeiro,5,1/1/2001,93
2002,alagoas,Janeiro,12,1/1/2002,20
2003,alagoas,Janeiro,150,1/1/2003,67
2004,alagoas,Janeiro,9,1/1/2004,52
2005,alagoas,Janeiro,83,1/1/2005,0
2006,alagoas,Janeiro,29,1/1/2006,52
2007,alagoas,Janeiro,33,1/1/2007,4
2008,alagoas,Janeiro,55,1/1/2008,60
2009,alagoas,Janeiro,104,1/1/2009,67
2010,alagoas,Janeiro,23,1/1/2010,29
2011,alagoas,Janeiro,41,1/1/2011,21
2012,alagoas,Janeiro,36,1/1/2012,91
2013,alagoas,Janeiro,49,1/1/2013,56
2014,alagoas,Janeiro,54,1/1/2014,55
2015,alagoas,Janeiro,81,1/1/2015,71
2016,alagoas,Janeiro,24,1/1/2016,16
2017,alagoas,Janeiro,38,1/1/2017,39
2017,alagoas,Janeiro,38,1/1/2017,66
1998,alagoas,Fevereiro,0,1/1/1998,90
1999,alagoas,Fevereiro,20,1/1/1999,75
2000,alagoas,Fevereiro,16,1/1/2000,14
2001,alagoas,Fevereiro,4,1/1/2001,12
2002,alagoas,Fevereiro,15,1/1/2002,90
2003,alagoas,Fevereiro,33,1/1/2003,47
2004,alagoas,Fevereiro,7,1/1/2004,61
2005,alagoas,Fevereiro,31,1/1/2005,96
2006,alagoas,Fevereiro,14,1/1/2006,39
2007,alagoas,Fevereiro,28,1/1/2007,55
2008,alagoas,Fevereiro,74,1/1/2008,69
2009,alagoas,Fevereiro,32,1/1/2009,43
2010,alagoas,Fevereiro,26,1/1/2010,7
2011,alagoas,Fevereiro,33,1/1/2011,15
2012,alagoas,Fevereiro,41,1/1/2012,19
2013,alagoas,Fevereiro,19,1/1/2013,62
2014,alagoas,Fevereiro,29,1/1/2014,86
2015,alagoas,Fevereiro,46,1/1/2015,6
2016,alagoas,Fevereiro,14,1/1/2016,53
2017,alagoas,Fevereiro,21,1/1/2017,3
1998,alagoas,Março,0,1/1/1998,79
1999,alagoas,Março,52,1/1/1999,71
2000,alagoas,Março,32,1/1/2000,32
2001,alagoas,Março,0,1/1/2001,98
2002,alagoas,Março,27,1/1/2002,50
2003,alagoas,Março,15,1/1/2003,1
2004,alagoas,Março,16,1/1/2004,90
2005,alagoas,Março,35,1/1/2005,51
2006,alagoas,Março,37,1/1/2006,44
2007,alagoas,Março,7,1/1/2007,61
2008,alagoas,Março,31,1/1/2008,17
2009,alagoas,Março,31,1/1/2009,73
2010,alagoas,Março,70,1/1/2010,66
2011,alagoas,Março,34,1/1/2011,85
2012,alagoas,Março,44,1/1/2012,30
2013,alagoas,Março,31,1/1/2013,87
2014,alagoas,Março,28,1/1/2014,53
2015,alagoas,Março,32,1/1/2015,6
2016,alagoas,Março,9,1/1/2016,87
2017,alagoas,Março,23,1/1/2017,32
1998,alagoas,Abril,0,1/1/1998,22
1999,alagoas,Abril,4,1/1/1999,10
2000,alagoas,Abril,20,1/1/2000,86
2001,alagoas,Abril,0,1/1/2001,29
2002,alagoas,Abril,6,1/1/2002,17
2003,alagoas,Abril,20,1/1/2003,62
2004,alagoas,Abril,6,1/1/2004,87
2005,alagoas,Abril,1,1/1/2005,43
2006,alagoas,Abril,2,1/1/2006,94
2007,alagoas,Abril,1,1/1/2007,38
2008,alagoas,Abril,18,1/1/2008,35
2009,alagoas,Abril,5,1/1/2009,58
2010,alagoas,Abril,3,1/1/2010,38
2011,alagoas,Abril,17,1/1/2011,99
2012,alagoas,Abril,18,1/1/2012,3
2013,alagoas,Abril,25,1/1/2013,10
2014,alagoas,Abril,16,1/1/2014,8
2015,alagoas,Abril,63,1/1/2015,34
2016,alagoas,Abril,13,1/1/2016,81
2017,alagoas,Abril,7,1/1/2017,75
1998,alagoas,Maio,0,1/1/1998,36
1999,alagoas,Maio,1,1/1/1999,21
2000,alagoas,Maio,1,1/1/2000,41
2001,alagoas,Maio,2,1/1/2001,48
2002,alagoas,Maio,1,1/1/2002,73
2003,alagoas,Maio,1,1/1/2003,53
2004,alagoas,Maio,3,1/1/2004,77
2005,alagoas,Maio,0,1/1/2005,41
2006,alagoas,Maio,0,1/1/2006,80
2007,alagoas,Maio,0,1/1/2007,21
2008,alagoas,Maio,0,1/1/2008,89
2009,alagoas,Maio,0,1/1/2009,67
2010,alagoas,Maio,0,1/1/2010,13
2011,alagoas,Maio,0,1/1/2011,48
2012,alagoas,Maio,21,1/1/2012,42
2013,alagoas,Maio,2,1/1/2013,29
2014,alagoas,Maio,1,1/1/2014,24
2015,alagoas,Maio,18,1/1/2015,1
2016,alagoas,Maio,4,1/1/2016,25
2017,alagoas,Maio,1,1/1/2017,95
1998,alagoas,Junho,0,1/1/1998,97
1999,alagoas,Junho,0,1/1/1999,66
2000,alagoas,Junho,0,1/1/2000,26
2001,alagoas,Junho,2,1/1/2001,64
2002,alagoas,Junho,0,1/1/2002,96
2003,alagoas,Junho,0,1/1/2003,61
2004,alagoas,Junho,0,1/1/2004,37
2005,alagoas,Junho,0,1/1/2005,62
2006,alagoas,Junho,0,1/1/2006,29
2007,alagoas,Junho,0,1/1/2007,94
2008,alagoas,Junho,0,1/1/2008,9
2009,alagoas,Junho,0,1/1/2009,78
2010,alagoas,Junho,0,1/1/2010,49
2011,alagoas,Junho,2,1/1/2011,30
2012,alagoas,Junho,4,1/1/2012,90
2013,alagoas,Junho,1,1/1/2013,52
2014,alagoas,Junho,2,1/1/2014,2
2015,alagoas,Junho,2,1/1/2015,15
2016,alagoas,Junho,5,1/1/2016,46
2017,alagoas,Junho,2,1/1/2017,43
1998,alagoas,Julho,0,1/1/1998,61
1999,alagoas,Julho,0,1/1/1999,69
2000,alagoas,Julho,0,1/1/2000,34
2001,alagoas,Julho,0,1/1/2001,82
2002,alagoas,Julho,5,1/1/2002,6
2003,alagoas,Julho,0,1/1/2003,42
2004,alagoas,Julho,0,1/1/2004,53
2005,alagoas,Julho,0,1/1/2005,22
2006,alagoas,Julho,0,1/1/2006,54
2007,alagoas,Julho,0,1/1/2007,53
2008,alagoas,Julho,0,1/1/2008,46
2009,alagoas,Julho,0,1/1/2009,98
2010,alagoas,Julho,2,1/1/2010,9
2011,alagoas,Julho,0,1/1/2011,76
2012,alagoas,Julho,0,1/1/2012,20
2013,alagoas,Julho,0,1/1/2013,70
2014,alagoas,Julho,1,1/1/2014,95
2015,alagoas,Julho,0,1/1/2015,56
2016,alagoas,Julho,3,1/1/2016,36
2017,alagoas,Julho,0,1/1/2017,47
1998,alagoas,Agosto,1,1/1/1998,99
1999,alagoas,Agosto,3,1/1/1999,35
2000,alagoas,Agosto,4,1/1/2000,25
2001,alagoas,Agosto,1,1/1/2001,22
2002,alagoas,Agosto,3,1/1/2002,21
2003,alagoas,Agosto,2,1/1/2003,41
2004,alagoas,Agosto,2,1/1/2004,14
2005,alagoas,Agosto,2,1/1/2005,59
2006,alagoas,Agosto,1,1/1/2006,98
2007,alagoas,Agosto,3,1/1/2007,80
2008,alagoas,Agosto,1,1/1/2008,37
2009,alagoas,Agosto,0,1/1/2009,98
2010,alagoas,Agosto,1,1/1/2010,57
2011,alagoas,Agosto,4,1/1/2011,30
2012,alagoas,Agosto,0,1/1/2012,6
2013,alagoas,Agosto,0,1/1/2013,15
2014,alagoas,Agosto,3,1/1/2014,65
2015,alagoas,Agosto,3,1/1/2015,84
2016,alagoas,Agosto,5,1/1/2016,8
2017,alagoas,Agosto,1,1/1/2017,84
1998,alagoas,Setembro,14,1/1/1998,6
1999,alagoas,Setembro,3,1/1/1999,43
2000,alagoas,Setembro,22,1/1/2000,15
2001,alagoas,Setembro,5,1/1/2001,12
2002,alagoas,Setembro,14,1/1/2002,79
2003,alagoas,Setembro,8,1/1/2003,25
2004,alagoas,Setembro,5,1/1/2004,47
2005,alagoas,Setembro,7,1/1/2005,25
2006,alagoas,Setembro,4,1/1/2006,99
2007,alagoas,Setembro,2,1/1/2007,27
2008,alagoas,Setembro,9,1/1/2008,2
2009,alagoas,Setembro,13,1/1/2009,52
2010,alagoas,Setembro,5,1/1/2010,70
2011,alagoas,Setembro,5,1/1/2011,94
2012,alagoas,Setembro,6,1/1/2012,57
2013,alagoas,Setembro,4,1/1/2013,48
2014,alagoas,Setembro,11,1/1/2014,98
2015,alagoas,Setembro,7,1/1/2015,26
2016,alagoas,Setembro,18,1/1/2016,53
2017,alagoas,Setembro,4,1/1/2017,59
1998,alagoas,Outubro,20,1/1/1998,96
1999,alagoas,Outubro,4,1/1/1999,99
2000,alagoas,Outubro,13,1/1/2000,45
2001,alagoas,Outubro,15,1/1/2001,98
2002,alagoas,Outubro,30,1/1/2002,65
2003,alagoas,Outubro,10,1/1/2003,56
2004,alagoas,Outubro,12,1/1/2004,14
2005,alagoas,Outubro,17,1/1/2005,8
2006,alagoas,Outubro,32,1/1/2006,31
2007,alagoas,Outubro,6,1/1/2007,40
2008,alagoas,Outubro,18,1/1/2008,49
2009,alagoas,Outubro,30,1/1/2009,3
2010,alagoas,Outubro,16,1/1/2010,65
2011,alagoas,Outubro,23,1/1/2011,49
2012,alagoas,Outubro,28,1/1/2012,93
2013,alagoas,Outubro,25,1/1/2013,95
2014,alagoas,Outubro,7,1/1/2014,84
2015,alagoas,Outubro,40,1/1/2015,2
2016,alagoas,Outubro,74,1/1/2016,92
2017,alagoas,Outubro,14,1/1/2017,74
1998,alagoas,Novembro,19,1/1/1998,14
1999,alagoas,Novembro,15,1/1/1999,3
2000,alagoas,Novembro,2,1/1/2000,50
2001,alagoas,Novembro,22,1/1/2001,3
2002,alagoas,Novembro,,1/1/2002,11
2003,alagoas,Novembro,17,1/1/2003,9
2004,alagoas,Novembro,28,1/1/2004,67
2005,alagoas,Novembro,25,1/1/2005,48
2006,alagoas,Novembro,12,1/1/2006,100
2007,alagoas,Novembro,15,1/1/2007,14
2008,alagoas,Novembro,37,1/1/2008,50
2009,alagoas,Novembro,55,1/1/2009,72
2010,alagoas,Novembro,31,1/1/2010,97
2011,alagoas,Novembro,23,1/1/2011,58
2012,alagoas,Novembro,95,1/1/2012,34
2013,alagoas,Novembro,10,1/1/2013,68
2014,alagoas,Novembro,14,1/1/2014,78
2015,alagoas,Novembro,162,1/1/2015,64
2016,alagoas,Novembro,76,1/1/2016,86
2017,alagoas,Novembro,10,1/1/2017,20
1998,alagoas,Dezembro,32,1/1/1998,42
1999,alagoas,Dezembro,12,1/1/1999,17
2000,alagoas,Dezembro,2,1/1/2000,79
2001,alagoas,Dezembro,30,1/1/2001,33
2002,alagoas,Dezembro,95,1/1/2002,91
2003,alagoas,Dezembro,43,1/1/2003,59
2004,alagoas,Dezembro,71,1/1/2004,66
2005,alagoas,Dezembro,16,1/1/2005,73
2006,alagoas,Dezembro,30,1/1/2006,86
2007,alagoas,Dezembro,33,1/1/2007,75
2008,alagoas,Dezembro,34,1/1/2008,80
2009,alagoas,Dezembro,55,1/1/2009,23
2010,alagoas,Dezembro,45,1/1/2010,93
2011,alagoas,Dezembro,50,1/1/2011,38
2012,alagoas,Dezembro,59,1/1/2012,10
2013,alagoas,Dezembro,42,1/1/2013,13
2014,alagoas,Dezembro,24,1/1/2014,92
2015,alagoas,Dezembro,136,1/1/2015,33
2016,alagoas,Dezembro,155,1/1/2016,7
1998,Amapa,Janeiro,0,1/1/1998,88
1999,Amapa,Janeiro,0,1/1/1999,57
2000,Amapa,Janeiro,2,1/1/2000,63
2001,Amapa,Janeiro,0,1/1/2001,92
2002,Amapa,Janeiro,7,1/1/2002,82
2003,Amapa,Janeiro,31,1/1/2003,73
2004,Amapa,Janeiro,38,1/1/2004,91
2005,Amapa,Janeiro,109,1/1/2005,67
2006,Amapa,Janeiro,6,1/1/2006,87
2007,Amapa,Janeiro,0,1/1/2007,76
2008,Amapa,Janeiro,2,1/1/2008,97
2009,Amapa,Janeiro,4,1/1/2009,44
2010,Amapa,Janeiro,2,1/1/2010,95
2011,Amapa,Janeiro,0,1/1/2011,46
2012,Amapa,Janeiro,30,1/1/2012,70
2013,Amapa,Janeiro,3,1/1/2013,64
2014,Amapa,Janeiro,10,1/1/2014,40
2015,Amapa,Janeiro,14,1/1/2015,6
2016,Amapa,Janeiro,19,1/1/2016,26
2017,Amapa,Janeiro,2,1/1/2017,3
1998,Amapa,Fevereiro,0,1/1/1998,66
1999,Amapa,Fevereiro,1,1/1/1999,71
2000,Amapa,Fevereiro,0,1/1/2000,66
2001,Amapa,Fevereiro,0,1/1/2001,76
2002,Amapa,Fevereiro,2,1/1/2002,2
2003,Amapa,Fevereiro,0,1/1/2003,44
2004,Amapa,Fevereiro,2,1/1/2004,60
2005,Amapa,Fevereiro,1,1/1/2005,83
2006,Amapa,Fevereiro,2,1/1/2006,53
2007,Amapa,Fevereiro,0,1/1/2007,97
2008,Amapa,Fevereiro,0,1/1/2008,95
2009,Amapa,Fevereiro,0,1/1/2009,6
2010,Amapa,Fevereiro,0,1/1/2010,17
2011,Amapa,Fevereiro,3,1/1/2011,72
2012,Amapa,Fevereiro,5,1/1/2012,4
2013,Amapa,Fevereiro,0,1/1/2013,33
2014,Amapa,Fevereiro,2,1/1/2014,21
2015,Amapa,Fevereiro,1,1/1/2015,17
2016,Amapa,Fevereiro,1,1/1/2016,64
2017,Amapa,Fevereiro,0,1/1/2017,34
1998,Amapa,Março,0,1/1/1998,61
1999,Amapa,Março,2,1/1/1999,82
2000,Amapa,Março,0,1/1/2000,20
2001,Amapa,Março,,1/1/2001,5
2002,Amapa,Março,0,1/1/2002,79
2003,Amapa,Março,1,1/1/2003,38
2004,Amapa,Março,0,1/1/2004,85
2005,Amapa,Março,0,1/1/2005,97
2006,Amapa,Março,0,1/1/2006,70
2007,Amapa,Março,0,1/1/2007,59
2008,Amapa,Março,1,1/1/2008,64
2009,Amapa,Março,1,1/1/2009,86
2010,Amapa,Março,2,1/1/2010,88
2011,Amapa,Março,0,1/1/2011,67
2012,Amapa,Março,1,1/1/2012,38
2013,Amapa,Março,0,1/1/2013,51
2014,Amapa,Março,1,1/1/2014,55
2015,Amapa,Março,2,1/1/2015,13
2016,Amapa,Março,5,1/1/2016,1
2017,Amapa,Março,0,1/1/2017,43
1998,Amapa,Abril,0,1/1/1998,1
1999,Amapa,Abril,0,1/1/1999,97
2000,Amapa,Abril,0,1/1/2000,45
2001,Amapa,Abril,0,1/1/2001,62
2002,Amapa,Abril,0,1/1/2002,9
2003,Amapa,Abril,2,1/1/2003,77
2004,Amapa,Abril,0,1/1/2004,80
2005,Amapa,Abril,0,1/1/2005,92
2006,Amapa,Abril,0,1/1/2006,70
2007,Amapa,Abril,0,1/1/2007,40
2008,Amapa,Abril,2,1/1/2008,25
2009,Amapa,Abril,,1/1/2009,5
2010,Amapa,Abril,2,1/1/2010,72
2011,Amapa,Abril,0,1/1/2011,77
2012,Amapa,Abril,2,1/1/2012,49
2013,Amapa,Abril,2,1/1/2013,53
2014,Amapa,Abril,0,1/1/2014,79
2015,Amapa,Abril,0,1/1/2015,78
2016,Amapa,Abril,0,1/1/2016,42
2017,Amapa,Abril,3,1/1/2017,7
1998,Amapa,Maio,0,1/1/1998,30
1999,Amapa,Maio,0,1/1/1999,37
2000,Amapa,Maio,0,1/1/2000,22
2001,Amapa,Maio,0,1/1/2001,64
2002,Amapa,Maio,3,1/1/2002,30
2003,Amapa,Maio,0,1/1/2003,55
2004,Amapa,Maio,0,1/1/2004,36
2005,Amapa,Maio,0,1/1/2005,61
2006,Amapa,Maio,0,1/1/2006,81
2007,Amapa,Maio,0,1/1/2007,89
2008,Amapa,Maio,0,1/1/2008,52
2009,Amapa,Maio,2,1/1/2009,94
2010,Amapa,Maio,2,1/1/2010,92
2011,Amapa,Maio,2,1/1/2011,2
2012,Amapa,Maio,2,1/1/2012,78
2013,Amapa,Maio,0,1/1/2013,62
2014,Amapa,Maio,0,1/1/2014,87
2015,Amapa,Maio,0,1/1/2015,25
2016,Amapa,Maio,1,1/1/2016,99
2017,Amapa,Maio,1,1/1/2017,2
1998,Amapa,Junho,0,1/1/1998,53
1999,Amapa,Junho,2,1/1/1999,64
2000,Amapa,Junho,0,1/1/2000,15
2001,Amapa,Junho,0,1/1/2001,2
2002,Amapa,Junho,0,1/1/2002,92
2003,Amapa,Junho,0,1/1/2003,28
2004,Amapa,Junho,5,1/1/2004,15
2005,Amapa,Junho,2,1/1/2005,66
2006,Amapa,Junho,0,1/1/2006,68
2007,Amapa,Junho,0,1/1/2007,67
2008,Amapa,Junho,0,1/1/2008,77
2009,Amapa,Junho,1,1/1/2009,91
2010,Amapa,Junho,0,1/1/2010,98
2011,Amapa,Junho,0,1/1/2011,23
2012,Amapa,Junho,7,1/1/2012,16
2013,Amapa,Junho,1,1/1/2013,100
